epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,427.577,1.44905,0.33501,0.2621,1.01014,1.41323,0.98576,1,0.995,0.65243,0.92455,0.9375,0.88437,0.87279,1.16989,0.84423,0.07156,0.71114,1.48434,0.000519505,0.000519505,0.000519505
91,433.58,1.4269,0.53367,0.21574,0.96056,1.40802,0.9862,1,0.995,0.63107,0.925,0.9375,0.88031,0.87294,1.19428,0.85131,0.06757,0.71989,1.48724,0.000506612,0.000506612,0.000506612
92,439.242,1.46576,0.46951,0.25277,1.06829,1.43066,0.96218,0.96875,0.97036,0.60724,0.93115,0.9375,0.88437,0.82626,1.29607,0.95861,0.08476,0.72856,1.50676,0.000493719,0.000493719,0.000493719
93,443.142,1.34623,0.43328,0.25058,0.97599,1.38529,0.96124,0.96875,0.96962,0.58677,0.93019,0.9375,0.89037,0.83627,1.33665,0.95691,0.09266,0.75471,1.51458,0.000480825,0.000480825,0.000480825
94,446.907,1.39603,0.38696,0.2501,0.99931,1.38746,0.94762,0.96875,0.96962,0.59522,0.91623,0.9375,0.88986,0.84624,1.31751,0.91416,0.09708,0.7421,1.49983,0.000467932,0.000467932,0.000467932
95,450.813,1.32359,0.37755,0.20472,0.9587,1.3844,0.95216,0.96875,0.9687,0.64616,0.92107,0.9375,0.88437,0.85764,1.18652,0.88663,0.09123,0.71139,1.44547,0.000455039,0.000455039,0.000455039
96,456.155,1.35603,0.54787,0.23082,0.97443,1.37763,0.99352,1,0.995,0.62713,0.9315,0.9375,0.88813,0.88231,1.20142,0.85628,0.07111,0.65689,1.55702,0.000442146,0.000442146,0.000442146
97,462.162,1.37824,0.47091,0.22414,0.99212,1.39483,0.99299,1,0.995,0.60616,0.931,0.9375,0.91521,0.90676,1.24962,0.86229,0.07462,0.64987,1.59365,0.000429253,0.000429253,0.000429253
98,468.095,1.29036,0.53912,0.23299,0.95157,1.33249,0.99262,1,0.995,0.59767,0.93069,0.9375,0.92457,0.91829,1.26278,0.8773,0.07768,0.65929,1.59924,0.000416359,0.000416359,0.000416359
99,474.142,1.33162,0.48896,0.18993,0.97245,1.36942,0.99325,1,0.995,0.6107,0.93133,0.9375,0.92688,0.90758,1.22861,0.89101,0.07971,0.66307,1.56872,0.000403466,0.000403466,0.000403466
